Question,Answer
Load balancing customer IO capabilities across nodes in a cluster or across geographic areas within a region,"The StorageGRID Load Balancer service is installed on all Admin Nodes and all Gateway Nodes and provides Layer 7 load balancing. It distributes the workload across multiple Storage Nodes, maximizing speed and connection capacity. The Load Balancer service on each node operates independently when forwarding client traffic to the Storage Nodes and routes more requests to Storage Nodes with higher CPU availability. For geographically dispersed regions, you can configure high availability (HA) groups to provide highly available access to the services on Admin Nodes or Gateway Nodes. Traffic can be distributed across multiple HA groups, offering high aggregate throughput and fast failover."
Replication capabilities between datacentres / data protection against data loss and corruption,"Geo-protection is implemented by the HCP Replication service. The Replication service is responsible for keeping tenants and namespaces on two or more HCP systems in sync with each other. Replication entails sending information from the system where the service is running to one or more other systems. The information sent includes tenant and namespace configuration information, metadata and data for newly created objects, metadata changes for existing objects, and instructions to perform delete operations. The Replication service works on the systems in a replication topology. Typically, the systems in a replication topology are in separate geographic locations and are connected by a high-speed wide area network. If a system in a replication topology suffers irreparable damage, another system in the topology can serve as a source for disaster recovery."
Compression and deduplication capabilities,Not enough information is available in the retrieved content.
TCP / Application Protocol Support,Not enough information is available in the retrieved content.
RESTful API integration for product management,Not enough information is available in the retrieved content.
"Can reports be produced via REST API or viewed on a GUI - based on node/site and global capacity (total, quota, used, free)? If so, please explain what is available to see and provide sample reports.","Storage reports can be generated from the HCP System Management Console, which is a GUI. These reports show current and historical usage statistics for storage components, storage pools, and service plans. The reports include aggregated namespace statistics for each tenant, including the default tenant. The reports also contain aggregated tenant statistics for the HCP system as a whole. The storage Overview page provides a high-level view of storage component, storage pool, and service plan usage, including the total number of objects and object parts stored, and the total number of bytes used to store them. For each report, you specify the start and end dates of the report period, and the reporting interval (hourly, daily, or total values).

Not enough information is available in the retrieved content to determine if reporting capabilities are available via REST API. Additionally, the context does not provide sample reports demonstrating these metrics."
Administration capabilities for a multi-tenant product / solution,"Tenant-level administrators are responsible for configuring tenant contact information, the tenant description, and the tenant permission mask. They also manage system-level administrative access to the tenant, access to the Tenant Management Console, access to HCP through the management API, and access to the Search Console for the tenant. Additionally, they create and manage content classes and content properties for the tenant, as well as creating and maintaining namespaces, including managing search and indexing for the namespace. System-level administrators create tenants and maintain certain aspects of their configuration, monitor the HCP system hardware and software, monitor overall repository usage, configure features that apply across the HCP system, and manage system-level users."
"Product monitoring capabilities - device performance, user experience and storage capacity; over which protocols and interfaces",Not enough information is available in the retrieved content.
Ability to set and apply archive quotas per tenant,"Yes, the system supports the configuration and enforcement of storage quotas at the tenant level. The storage quotas for a tenant are set when the tenant is created, and HCP system-level administrators can change these quotas at any time."
"Data Tiering Capability, including cloud storage endpoints / Hybrid solution","Yes, the system offers data tiering functionality with support for cloud storage endpoints and hybrid deployment models. StorageGRID enables policy-based information lifecycle management (ILM) to store objects to public clouds, including Amazon Web Services (AWS) and Microsoft Azure. You can also reduce the cost of ONTAP storage by tiering data to StorageGRID using FabricPool for automated tiering of data to low-cost object storage tiers, either on or off premises. You can configure multiple Cloud Storage Pool endpoints if you want to tier or back up object data to more than one cloud."
Cloud Interoperability with main stream Cloud hyperscaler,Not enough information is available in the retrieved content.
"While there is no requirement for the solution to fit with a private cloud infrastructure, this is a chance for the proponent to showcase its product’s features, it will be used to ensure that the products fit well into company's future direction.",Not enough information is available in the retrieved content.
